1 | Kazumi Himekawa | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
2 | Chihiro Midou | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
3 | Misaki Tokiwa | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
4 | Sana Horiushi | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
5 | Fumika Riku | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
6 | Kanae Yaegashi | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
7 | Koharu Isaka | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
8 | Miko Saimiyouji | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
9 | Tokiko Yamana | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
10 | Rumi Kinoshita | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
11 | Sumi Shirakuwa | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
12 | Mimori Kugahara | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
13 | Mizuki Takayashiki | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
14 | Imari Hasumizu | Akai Canvas Series Nadeshiko ~Aka no Rasen~ | female | eroge
15 | Kanade Mugiho | Akai Canvas Series Nadeshiko ~Aka no Rasen~ | female | eroge
16 | Rika Sasamine | Akai Canvas Series Nadeshiko ~Aka no Rasen~ | female | eroge
17 | Satsuki Kagurazaka | Akai Canvas Series Nadeshiko ~Aka no Rasen~ | female | eroge
18 | Aruruu | Utawarerumono | female | eroge
19 | Benawi | Utawarerumono | male | eroge
20 | Dori | Utawarerumono | male | eroge
21 | Eruruu | Utawarerumono | female | eroge
22 | Gura | Utawarerumono | female | eroge
23 | Hakuoro | Utawarerumono | male | eroge
24 | Kamyu | Utawarerumono | female | eroge
25 | Karurauatsuurei | Utawarerumono | female | eroge
26 | Kurou | Utawarerumono | male | eroge
27 | Oboro | Utawarerumono | male | eroge
28 | Sopoku | Utawarerumono | female | eroge
29 | Teoro | Utawarerumono | male | eroge
30 | Touka | Utawarerumono | female | eroge
31 | Tusukuru | Utawarerumono | female | eroge
32 | Urtoriy | Utawarerumono | female | eroge
33 | Yuzuha | Utawarerumono | female | eroge
34 | Alto | EVE ~New Generation X~ | female | eroge
35 | Effy | EVE ~New Generation X~ | female | eroge
36 | Kojiro Amagi | EVE ~New Generation X~ | male | eroge
37 | Kyoko Himura | EVE ~New Generation X~ | female | eroge
